$ vitest run

 RUN  v3.2.4 /Users/davidchenallio/src/graphrefly-ts/packages/ts

 ✓ src/__tests__/local-container-postgresql-docker-engine-api-v0-node.test.ts (59 tests) 1140ms
 ✓ src/__tests__/managed-untrusted-js-compute.test.ts (37 tests) 954ms
   ✓ managed untrusted JS compute runtime (D612) > bounds hanging kill, destroy, and allocation-fence provider work as unverifiable  313ms
 ✓ src/__tests__/spending-alerts-causal-preset.test.ts (98 tests) 1211ms
   ✓ D165 exact request evidence and private authorization > all 64 declared evaluations survive two DATA frames including exact duplicate arrivals  459ms
 ✓ src/__tests__/tool-provider-adapters.test.ts (16 tests) 293ms
 ✓ src/__tests__/spending-alerts-causal-publication.test.ts (110 tests) 1336ms
 ✓ src/__tests__/managed-cloud-postgresql.test.ts (37 tests) 320ms
 ✓ src/__tests__/provider-qualification.test.ts (20 tests) 537ms
 ✓ src/__tests__/work-item-workspace-proposals-d430-family-applications.test.ts (61 tests) 241ms
 ✓ src/__tests__/solutions-agentic-memory.part-02.test.ts (166 tests) 1312ms
   ✓ AgenticMemory D641 journal specialization restart coverage > reads and materializes raw memory plus insight records in a separate cold process  973ms
 ✓ src/__tests__/work-item-execution-project-fit.d686.test.ts (5 tests) 140ms
 ✓ src/__tests__/solutions-causal-occurrence.d791.test.ts (43 tests) 183ms
 ✓ src/__tests__/work-item-execution-default.d687.test.ts (5 tests) 240ms
 ✓ src/__tests__/keyed-rate-limit-lifecycle.d651.test.ts (18 tests) 193ms
 ✓ src/__tests__/local-container-postgresql.test.ts (13 tests) 175ms
 ✓ src/__tests__/causal-committed-view.d163.test.ts (18 tests) 86ms
 ✓ src/__tests__/local-untrusted-js-compute-node.test.ts (12 tests) 3585ms
   ✓ D667 Node rootless-Podman broker lifecycle > keeps an aborted create unverifiable while reconciling a delayed allocation  382ms
   ✓ D667 Node rootless-Podman broker lifecycle > uses the full cleanup window when delayed create reconciliation has transient control failures  434ms
   ✓ D667 Node rootless-Podman broker lifecycle > refuses an unrelated ID even when an ignored filter returns matching labels and name  1036ms
   ✓ D667 Node rootless-Podman broker lifecycle > fails closed on bounded log overflow and strict exit-code parsing  742ms
 ✓ src/__tests__/solutions-agentic-memory-record-use.d643.test.ts (39 tests) 141ms
 ✓ src/__tests__/keyed-rate-limit.d649.test.ts (24 tests) 61ms
 ✓ src/__tests__/agent-runtime.part-05.test.ts (6 tests) 55ms
 ✓ src/__tests__/local-untrusted-js-compute.test.ts (11 tests) 96ms
 ✓ src/__tests__/clickhouse-trusted-query-evaluation.test.ts (11 tests) 109ms
 ✓ src/__tests__/postgresql-tool-provider.test.ts (18 tests) 119ms
 ✓ src/__tests__/wire-bridge.protobuf-d497.test.ts (55 tests) 55ms
 ✓ src/__tests__/keyed-rate-limit-algorithms.d650.test.ts (29 tests) 80ms
 ✓ src/__tests__/wire-bridge.wire-bridge-envelopes-d134.test.ts (34 tests) 87ms
 ✓ src/__tests__/model-harness-profile-current.test.ts (3 tests) 128ms
 ✓ src/__tests__/agent-runtime.part-07.test.ts (8 tests) 54ms
 ✓ src/__tests__/storage.d82-storage-substrate-helpers-part-02.test.ts (37 tests) 42ms
 ✓ src/__tests__/sources-node.test.ts (11 tests) 2954ms
   ✓ node-only process sources > nodeProcessDriver cancellation terminates a long-running child  350ms
   ✓ node-only process sources > fromSpawn escalates teardown when a child ignores SIGTERM  349ms
   ✓ node-only git sources > fromGitPoll records the first poll as baseline and emits later commits  1890ms
 ✓ src/__tests__/production-evaluation-authority.test.ts (7 tests) 51ms
 ✓ src/__tests__/customer-hosted-postgresql.test.ts (9 tests) 66ms
 ✓ src/__tests__/graph-construction.d161.test.ts (28 tests) 59ms
 ✓ src/__tests__/agent-runtime.part-04.test.ts (5 tests) 33ms
 ✓ src/__tests__/orchestration.test.ts (16 tests) 23ms
 ✓ src/__tests__/operators-tap.test.ts (2 tests) 5ms
 ✓ src/__tests__/postgresql-run-operations.test.ts (8 tests) 28ms
 ✓ src/__tests__/reactive-cascading-cache.test.ts (10 tests) 40ms
 ✓ src/__tests__/solutions-agentic-work-item-memory-application.test.ts (11 tests) 61ms
